"2","Tim Burton","Adventure | Comedy | Family | Fantasy","Johnny Depp","Freddie Highmore","David Kelly","115 mins.","6.7"
"3","Christopher Nolan","Action | Adventure","Christian Bale","Michael Caine","Ken Watanabe","140 mins.","8.3"
"4","Joe Wright","Drama | Romance","Keira Knightley","Matthew Macfadyen","Brenda Blethyn","129 mins.","7.8"
"5","Andrew Adamson","Adventure | Family | Fantasy","Tilda Swinton","Georgie Henley","William Moseley","143 mins.","6.9"
"6","Peter Jackson","Action | Adventure | Drama | Romance","Naomi Watts","Jack Black","Adrien Brody","187 mins.","7.3"
"7","James McTeigue","Action | Drama | Thriller","Hugo Weaving","Natalie Portman","Rupert Graves","132 mins.","8.2"
"8","Frank Miller","Crime | Thriller","Robert Rodriguez","Mickey Rourke","Clive Owen","124 mins.","8.1"
"9","Thomas Bezucha","Comedy | Drama | Romance","Dermot Mulroney","Sarah Jessica Parker","Claire Danes","103 mins.","6.3"
"10","Eric Darnell","Animation | Adventure | Comedy | Family","Tom McGrath","Chris Rock","Ben Stiller","86 mins.","6.9"
"11","Ridley Scott","Action | Adventure | Drama | History | War","Orlando Bloom","Eva Green","Liam Neeson","144 mins.","7.2"
"12","Ang Lee","Drama | Romance","Jake Gyllenhaal","Heath Ledger","Michelle Williams","134 mins.","7.7"
"13","David Dobkin","Comedy | Romance","Owen Wilson","Vince Vaughn","Rachel McAdams","119 mins.","7.0"
"14","Tim Story","Action | Adventure | Sci-Fi","Ioan Gruffudd","Michael Chiklis","Chris Evans","106 mins.","5.7"
"15","Judd Apatow","Comedy | Romance","Steve Carell","Catherine Keener","Paul Rudd","116 mins.","7.2"
"16","Joss Whedon","Action | Adventure | Sci-Fi | Thriller","Nathan Fillion","Gina Torres","Chiwetel Ejiofor","119 mins.","8.0"
"17","Rian Johnson","Crime | Drama | Mystery | Thriller","Joseph Gordon-Levitt","Lukas Haas","Emilie de Ravin","110 mins.","7.4"
"18","Julian Jarrold","Comedy | Drama | Music","Chiwetel Ejiofor","Joel Edgerton","Sarah-Jane Potts","107 mins.","7.0"
"19","Garth Jennings","Adventure | Comedy | Sci-Fi","Martin Freeman","Yasiin Bey","Sam Rockwell","109 mins.","6.8"
"20","Steven Spielberg","Adventure | Sci-Fi | Thriller","Tom Cruise","Dakota Fanning","Tim Robbins","116 mins.","6.5"
"21","Peter Segal","Comedy | Crime | Sport","Adam Sandler","Burt Reynolds","Chris Rock","113 mins.","6.4"
"22","Andy Tennant","Comedy | Romance","Will Smith","Eva Mendes","Kevin James","118 mins.","6.7"
"23","Doug Liman","Action | Comedy | Crime | Romance | Thriller","Brad Pitt","Angelina Jolie","Adam Brody","120 mins.","6.5"
"24","Francis Lawrence","Drama | Fantasy | Horror | Thriller","Keanu Reeves","Rachel Weisz","Djimon Hounsou","121 mins.","6.9"
"25","Michael Bay","Action | Adventure | Sci-Fi | Thriller","Scarlett Johansson","Ewan McGregor","Djimon Hounsou","136 mins.","6.9"
"26","Roger Kumble","Comedy | Romance","Ryan Reynolds","Amy Smart","Anna Faris","96 mins.","6.2"
